"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of February 2026, here are five top-rated free CV builders that offer user-friendly interfaces, ATS-friendly outputs, and varying privacy considerations:

1. **BuzzCV**  
   BuzzCV provides a completely free CV builde"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**CVCompose**  
Offers a variety of professional, ATS-friendly templates with free PDF export."
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five recommended CV builders that allow you to keep your data local in your browser, ensuring privacy without uploading your information to the cloud. These tools are generally free or offer free tiers, produce "
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **Resume-LLM**: A local, privacy-first résumé builder that uses Large Language Models (LLMs) and Markdown to generat"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five free alternatives to Resume.io that offer ATS-friendly outputs and varying privacy considerations:



**Jobscan Resume Builder**  
Designed to optimize resumes for Applicant Tracking Systems (ATS"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free alternatives to Zety that are well-suited for creating ATS-friendly resumes:



**Indeed Resume Builder**  
A completely free tool that integrates directly with Indeed's ATS, ensuring your r"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","When applying for tech jobs, having an ATS-friendly resume is crucial for ensuring your application is properly parsed by automated systems. Here are five top-rated resume builders that offer ATS compatibility and effici"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, offering a variety of templates and PDF export options:



**Novorésumé**  
Offers a range of ATS-optimized templates with clean, single-col"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **YourBestCV**: Tailored for the UK job market, YourBestCV provides an intuitive interface with "
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","For job seekers in London and the UK, selecting a free CV builder that is both user-friendly and ATS-friendly is crucial. Here are five top recommendations:



**LiveCareer UK CV Builder**  
Offers AI-powered CV creation"
