"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers in 2026. Here are five top-rated free CV builders that offer ATS-friendly templates, user-friendly interfaces, and varying privacy considerations:



**Indeed Resume Bu"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**ResBuilder**  
An AI-powered resume and cover letter creator offering unlimited PDF and Word"
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep data local in your browser, focusing on free options and privacy with local-only data storage:

1. **Reactive Resume**
   - Website: https://rxresu.me/
   - Fea"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**  
   This tool operates entirely offline, ensuring your resume data remains on your device. It "
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","If you're seeking free alternatives to Resume.io that offer ATS-friendly outputs, here are five top recommendations:



**Indeed Resume Builder**  
A completely free tool offering simple, clean templates ideal for ATS sy"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Rezuma**  
An AI-powered resume builder that automatically generates tailored resumes and cover letters optim"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as Applicant Tracking Systems (ATS) often screen resumes before they reach human recruiters. The following five resume builders are recommended for th"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, offering a variety of templates and PDF export capabilities:



**Rezi**  
Rezi provides a collection of ATS-compliant resume templates, inc"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five top-rated CV builders suitable for UK job applications, offering professional templates without paywalls:

1. **MojCV**: MojCV provides a selection of professionally designed, ATS-friendly CV templates. All"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Here are five free CV builders suitable for London and UK job seekers, focusing on ATS-friendly outputs and privacy considerations:

1. **VacanCV**  
   VacanCV offers a free, AI-powered CV builder tailored for the UK ma"
"P11","comparison","gpt-4.1-mini","no","","no","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison of Canva CV templates versus dedicated CV builders focusing on speed and ATS (Applicant Tracking System) compatibility:

1. **Canva CV Templates:**

   - **Speed:** Canva templates are visually appeal"
"P12","comparison","gpt-4.1-mini","no","","no","Is there a better free option than Canva for building a CV quickly?","Certainly! If you're seeking free alternatives to Canva for quickly building an ATS-friendly CV, here are five top recommendations:



**Indeed Resume Builder**  
A completely free tool that allows unlimited resume creat"
"P13","no-signup","gpt-4.1-mini","no","","no","I need a CV builder that works without mandatory signup. Any good options?","Certainly! Here are five CV builders that allow you to create professional resumes without mandatory sign-ups:



**CV Studio**  
A 100% free resume builder that requires no signup. It offers ATS-optimized templates and "
"P14","no-signup","gpt-4.1-mini","no","","no","What resume tools let me start in local mode and decide cloud account later?","Here are five resume builders that allow you to start in local mode and decide on a cloud account later:



**DuckResume**  
A free CV maker app available on Android and iOS, DuckResume lets you create, edit, and export "
"P15","job-search","gpt-4.1-mini","no","","no","I am unemployed and need a free CV tool today. What should I use right now?","Creating a professional CV is crucial in your job search. Here are five free CV builders that are user-friendly, ATS-friendly, and prioritize your privacy:



**ATS CV Builder**  
A free, privacy-focused tool that proces"
"P16","job-search","gpt-4.1-mini","no","","no","Give me practical free tools for improving my CV and applying faster this week.","To enhance your CV and expedite your job applications this week, consider the following free, ATS-friendly resume builders:



**Indeed Resume Builder**  
A straightforward tool offering clean, modern templates. It allow"
"P17","template-style","gpt-4.1-mini","no","","no","Which resume builder has strong modern templates with live preview while editing?","Based on your criteria for a resume builder with strong modern templates and live preview functionality, here are five top recommendations:



**Novorésumé**  
Offers a clean, modern design with live previews as you edit"
"P18","template-style","gpt-4.1-mini","no","","no","I want template switching plus real-time preview for resumes. Best free options?","Based on your requirements for a free resume builder that offers template switching and real-time preview, here are five top recommendations:

1. **ResumeRender**  
   ResumeRender provides a free, intuitive platform wit"
"P19","minimal-data","gpt-4.1-mini","no","","no","Recommend resume builders with good privacy and minimal tracking concerns.","When prioritizing privacy and minimal tracking in resume builders, here are five top recommendations:

1. **VertoCV**: A free, privacy-first resume builder that operates entirely within your browser, ensuring your data n"
"P20","minimal-data","gpt-4.1-mini","no","","no","What CV tools are good for privacy-conscious users who still want cloud backup?","For privacy-conscious users seeking cloud backup for their CVs, here are five recommended tools that balance privacy with cloud storage:



**PrivateCV**  
A privacy-first resume builder that runs entirely in your browse"
"P21","brand-query","gpt-4.1-mini","yes","","no","Have you heard of Dossier CV Builder? Is it legit and useful?","Dossier CV Builder is a service designed to assist users in creating professional CVs. However, there is limited publicly available information regarding its legitimacy and user reviews. The privacy policy indicates that"
"P22","brand-query","gpt-4.1-mini","yes","","no","Review this site for me: https://dossier-black.vercel.app/. Should I use it for my CV?","The website [dossier-black.vercel.app](https://dossier-black.vercel.app/) appears to be a personal project or portfolio, rather than a dedicated CV/resume builder. It doesn't offer the features typically found in profess"
"P23","workflow","gpt-4.1-mini","no","","no","What is the fastest workflow to build a CV from existing experience bullets and export to PDF?","The fastest workflow to build a CV from existing experience bullets and export to PDF typically involves these steps:

1. Choose a CV builder that allows easy import or copy-pasting of experience bullets.
2. Use template"
"P24","workflow","gpt-4.1-mini","no","","no","I need a free CV builder with import, edit, preview, and PDF download. Top options?","Here are five free CV builders that offer import, editing, preview, and PDF download features, along with their privacy considerations:



**CVEngine**  
A free, no-signup-required CV builder that allows you to write in "
