"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-07T08:00:35.834Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_1795738f70ee46f08e2982bd464c624d in your message.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-07T08:00:45.094Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:

1. **CV Studio**: Offers a 100% free resume builder with no sign-up or payment required. You can"
"P03","privacy","openai","gpt-4.1-mini","2026-05-07T08:00:51.910Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, ensuring privacy and control:

1. **Resumake.io**  
   - Free and open-source  
   - Works entirely in your browser, no data se"
"P04","privacy","openai","gpt-4.1-mini","2026-05-07T08:00:59.655Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers optional c"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-07T08:01:07.590Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_b4bf756517fe4eb9935a4b6355792d78 in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-07T08:01:14.860Z","no","","no","fetch failed","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-07T08:29:49.034Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_cf5ac0083eed4552a8acaacd2fb32169 in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-07T08:30:00.878Z","no","","no","","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, offering a variety of templates and PDF export capabilities:

1. **StackInterview Resume Builder**
   - **Features**: Offers 15 professional"
"P09","uk","openai","gpt-4.1-mini","2026-05-07T08:30:08.512Z","no","","no","fetch failed","Best CV builder for UK job applications with professional templates and no paywall.",""
"P10","uk","openai","gpt-4.1-mini","2026-05-07T08:46:08.711Z","no","","no","fetch failed","What free CV builders work well for London/UK job seekers?",""
"P11","comparison","openai","gpt-4.1-mini","2026-05-07T09:17:09.655Z","no","","no","","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison between Canva CV templates and dedicated CV builders focusing on speed and ATS quality:

1. **Speed:**
   - **Canva CV Templates:** Canva offers a highly visual drag-and-drop interface that can be ver"
