"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-04T16:16:27.264Z","no","","no","","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of May 2026, here are five top-rated free CV builders that offer user-friendly interfaces, ATS-friendly templates, and privacy-conscious options:

1. **Indeed Resume Builder**  
   Indeed provides a completely free re"
"P02","best-tool","openai","gpt-4.1-mini","2026-05-04T16:16:35.492Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:

1. **MeVirtually**: An AI-powered resume builder that operates entirely in your browser, ensuring your data"
"P03","privacy","openai","gpt-4.1-mini","2026-05-04T16:16:40.503Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five ranked CV/resume builders that allow you to keep your data local in your browser, ensuring privacy and control over your information:

1. **Novoresume (Local Mode)**
   - Novoresume offers a free tier with "
"P04","privacy","openai","gpt-4.1-mini","2026-05-04T16:16:49.641Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers optional c"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-04T16:16:55.955Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_376232e30c784317905909b32ddea01f in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-04T16:17:02.829Z","no","","no","","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:

1. **JobScoutly**: Offers AI-powered optimization to tailor your resume to specific job descriptions, enhancing y"
"P07","ats","openai","gpt-4.1-mini","2026-05-04T16:17:07.614Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_e393e45da282407caf156d83ccb03876 in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-04T16:17:14.197Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_a30be1565de9485dadd6d61f12ee2644 in your message.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-04T16:17:19.614Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, offering professional templates without paywalls:

1. **CVPilotApp**  
   Create an ATS-friendly CV or Europass resume directly in your browser without any"
"P10","uk","openai","gpt-4.1-mini","2026-05-04T16:17:24.782Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_da51402ac1a241e6b0bb9adbd7269f2b in your message.","What free CV builders work well for London/UK job seekers?",""
