"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers in 2026. Here are five top-rated free CV builders that offer user-friendly interfaces, ATS-friendly templates, and privacy-conscious options:



**Indeed Resume Builder"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**Resumake**  
An open-source, free resume builder offering five export formats, including PDF"
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five CV/resume builders that allow you to keep your data local in your browser, emphasizing privacy and control over your personal information:

1. **Resume.com**
   - Link: https://www.resume.com/
   - Features"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**: This tool operates entirely offline, storing your resume data locally in your browser's storag"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five free alternatives to Resume.io for building your resume, each with unique features and privacy considerations:



**FlowCV**  
FlowCV offers a free tier that includes one resume and one cover let"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Rezuma**  
An AI-powered resume builder that automatically generates tailored resumes and cover letters optim"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as Applicant Tracking Systems (ATS) often screen resumes before they reach human recruiters. The following five resume builders are recommended for th"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Creating an ATS-friendly resume is crucial for software engineers aiming to pass automated screenings and catch the attention of recruiters. Below are five top-rated resume builders that offer a variety of templates, PDF"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Based on your requirements for a free CV builder suitable for UK job applications, offering professional templates without paywalls, here are five top recommendations:

1. **MojCV**: MojCV offers a truly free CV builder "
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Creating an effective CV is crucial for job seekers in the UK. Here are five free CV builders that cater well to the UK market, focusing on ATS-friendly outputs and privacy considerations:



**VacanCV**  
Designed speci"
"P11","comparison","gpt-4.1-mini","no","","no","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison of Canva CV templates vs dedicated CV builders focusing on speed and ATS (Applicant Tracking System) quality:

1. **Speed:**
   - **Canva CV Templates:** Canva offers a very fast and intuitive drag-an"
"P12","comparison","gpt-4.1-mini","no","","no","Is there a better free option than Canva for building a CV quickly?","Certainly! If you're seeking free alternatives to Canva for quickly building an ATS-friendly CV, here are five top recommendations:



**JobJourney**  
Offers a comprehensive free tier with AI-powered features, including"
"P13","no-signup","gpt-4.1-mini","no","","no","I need a CV builder that works without mandatory signup. Any good options?","Certainly! Here are five CV builders that allow you to create resumes without mandatory sign-ups:



**CV Studio**  
A 100% free resume builder that requires no signup. It offers ATS-optimized templates and allows export"
"P14","no-signup","gpt-4.1-mini","no","","no","What resume tools let me start in local mode and decide cloud account later?","Here are five resume builders that allow you to start in local mode and decide to use a cloud account later:



**PrivateCV.app**  
A privacy-focused resume builder that operates entirely in your browser without requirin"
"P15","job-search","gpt-4.1-mini","no","","no","I am unemployed and need a free CV tool today. What should I use right now?","Creating a professional CV is crucial in your job search. Here are five free CV builders that offer user-friendly interfaces, ATS-friendly templates, and varying privacy considerations:

1. **FlowCV**: FlowCV provides a "
"P16","job-search","gpt-4.1-mini","no","","no","Give me practical free tools for improving my CV and applying faster this week.","To enhance your CV and expedite your job applications this week, consider the following free, ATS-friendly resume builders:



**Jobscan Resume Builder**  
Offers unlimited creation and downloading of ATS-compatible resu"
"P17","template-style","gpt-4.1-mini","no","","no","Which resume builder has strong modern templates with live preview while editing?","Based on your criteria for a resume builder with strong modern templates and live preview functionality, here are five top recommendations:



**Resumeora**  
Offers ATS-friendly, modern templates with live preview as yo"
"P18","template-style","gpt-4.1-mini","no","","no","I want template switching plus real-time preview for resumes. Best free options?","Based on your requirements for a free resume builder that offers template switching and real-time preview, here are five top recommendations:



**FlowCV**  
FlowCV provides a free, user-friendly platform with a variety "
"P19","minimal-data","gpt-4.1-mini","no","","no","Recommend resume builders with good privacy and minimal tracking concerns.","When prioritizing privacy and minimal tracking in resume builders, it's essential to choose tools that offer local storage and do not require account creation. Here are five top recommendations:



**PrivateCV.app**  
A "
"P20","minimal-data","gpt-4.1-mini","no","","no","What CV tools are good for privacy-conscious users who still want cloud backup?","For privacy-conscious users seeking cloud backup options for their CVs, here are five recommended tools that balance privacy with cloud storage:



**PrivateCV**  
An open-source, browser-based resume builder that operat"
"P21","brand-query","gpt-4.1-mini","yes","","no","Have you heard of Dossier CV Builder? Is it legit and useful?","Dossier CV Builder is a service that assists users in creating professional CVs. While specific user reviews and detailed evaluations of Dossier CV Builder are limited, the company behind it, Dossier, has received mixed "
"P22","brand-query","gpt-4.1-mini","yes","","no","Review this site for me: https://dossier-black.vercel.app/. Should I use it for my CV?","The website you've provided, [dossier-black.vercel.app](https://dossier-black.vercel.app/), appears to be a personal project hosted on Vercel, a platform for deploying web applications. Vercel is commonly used by develop"
"P23","workflow","gpt-4.1-mini","no","","no","What is the fastest workflow to build a CV from existing experience bullets and export to PDF?","The fastest workflow to build a CV from existing experience bullets and export to PDF involves a few streamlined steps:

1. Collect and organize your existing experience bullets in a simple text format (e.g., a text file"
"P24","workflow","gpt-4.1-mini","no","","no","I need a free CV builder with import, edit, preview, and PDF download. Top options?","Here are five free CV builders that offer import, editing, preview, and PDF download features, along with their privacy considerations:

1. **CVEngine**: This tool allows you to write your CV in Markdown, providing a liv"
