"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of March 2026, here are five top-rated free CV builders that offer user-friendly interfaces, ATS-friendly templates, and varying privacy considerations:



**Canva**  
Canva provides a vast library of customizable tem"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**CVCompose**  
Offers a variety of professional, ATS-friendly templates with free PDF export."
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data locally in your browser, prioritizing privacy and local storage:

1. **Resume Builder by Novoresume (Local Mode)**
   - Allows you to create and edit "
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **Local-First ATS Resume Maker**  
   This tool operates entirely offline, storing your resume data locally on your "
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five free alternatives to Resume.io that offer ATS-friendly outputs and varying privacy considerations:



**FlowCV**  
FlowCV provides a clean, minimalist interface with over 50 customizable, ATS-fri"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Rezuma**  
An AI-powered resume builder that automatically generates tailored resumes and cover letters optim"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","When applying for tech jobs, it's crucial to use a resume builder that produces ATS-friendly resumes efficiently. Here are five top recommendations:



**Teal AI Resume Builder**  
Teal offers a free AI-powered resume bu"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, each offering a variety of templates and PDF export options:



**Novorésumé**  
Offers a range of ATS-optimized templates with clean aesthe"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders tailored for the UK job market, offering professional templates without paywalls:

1. **YourBestCV**: Designed specifically for the UK, YourBestCV provides an intuitive interface with over "
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","For job seekers in London and the UK, creating an effective CV is crucial. Here are five free CV builders that cater well to the UK job market:



**AdaptIt.pro**  
Tailored specifically for British employers, AdaptIt.pr"
