"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers, and several free CV builders offer user-friendly interfaces, ATS-friendly templates, and various customization options. Here are five top recommendations:



**Canva**"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**Teal Resume Builder**  
Teal offers a free resume builder with unlimited access to ATS-frien"
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, prioritizing privacy, ATS-friendliness, and free usage:

1. **Novoresume (local mode)**
   - Website: https://novoresume.com
  "
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**  
   ATS Resume Maker operates entirely offline, storing your resume data locally in your brows"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five free resume builders that serve as excellent alternatives to Resume.io:



**Indeed Resume Builder**  
A straightforward tool that integrates seamlessly with Indeed's job portal, allowing for eas"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free alternatives to Zety that are well-suited for creating ATS-friendly resumes:



**Indeed Resume Builder**  
A completely free tool integrated with Indeed's job portal, offering a simple inte"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","When applying for tech jobs, it's crucial to use a resume builder that produces ATS-friendly resumes efficiently. Here are five top recommendations:



**Teal AI Resume Builder**  
Offers unlimited downloads, instant job"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Creating an ATS-friendly resume is crucial for software engineers aiming to pass automated screenings and catch the attention of recruiters. Here are five top-rated resume builders that offer a variety of templates, supp"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **YourBestCV**  
   Tailored for the UK job market, YourBestCV provides an intuitive interface w"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Here are five free CV builders tailored for UK job seekers, emphasizing ATS-friendly outputs and privacy considerations:

1. **YourBestCV**  
   Offers a user-friendly interface with professional templates designed speci"
