"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Based on the latest information available, here are five top free CV builders for job seekers in 2026:



**Canva Resume Builder**  
Offers a vast library of customizable templates with a user-friendly drag-and-drop inte"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**CVCompose**  
Offers a variety of professional, ATS-friendly templates with free PDF export."
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, which enhances privacy by not uploading your information to the cloud:

1. **Resumake.io**  
   - Description: An open-source, "
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**  
   ATS Resume Maker operates entirely offline, storing your resume data locally in your brows"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five top-rated free resume builders that serve as excellent alternatives to Resume.io:



**FlowCV**  
FlowCV offers a clean, minimalist interface with a strong emphasis on privacy, as it operates ent"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free resume builders that are ATS-friendly and serve as excellent alternatives to Zety:



**Indeed Resume Builder**  
A completely free tool integrated with Indeed's job portal, offering simple,"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as it ensures your resume is easily parsed by applicant tracking systems. Here are five top-rated, free resume builders that offer ATS compatibility a"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Creating an ATS-friendly resume is crucial for software engineers to ensure your application passes automated screenings. Here are five top-rated resume builders that offer a variety of templates and support PDF export:
"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **YourBestCV**  
   Tailored for the UK job market, YourBestCV provides an intuitive interface w"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Here are five free CV builders tailored for UK job seekers, each offering unique features to enhance your application:



**YourBestCV**  
Designed specifically for the UK job market, YourBestCV offers a user-friendly in"
"P11","comparison","gpt-4.1-mini","no","","no","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison of Canva CV templates versus dedicated CV builders focusing on speed and ATS (Applicant Tracking System) quality:

1. Speed:
   - Canva: Canva offers a visually intuitive drag-and-drop interface with "
"P12","comparison","gpt-4.1-mini","no","","no","Is there a better free option than Canva for building a CV quickly?","Certainly! If you're seeking free alternatives to Canva for quickly building an ATS-friendly CV, here are five top recommendations:



**Indeed Resume Builder**  
A straightforward, free tool that integrates seamlessly w"
"P13","no-signup","gpt-4.1-mini","no","","no","I need a CV builder that works without mandatory signup. Any good options?","Certainly! Here are five free CV builders that allow you to create resumes without mandatory sign-ups:



**HeyCV**  
A free, privacy-focused resume builder that saves your data locally in your browser, ensuring no perso"
