"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-13T14:35:34.677Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-13T14:35:42.816Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Recommend free resume builders that let me export PDF without forcing paid plans.",""
"P03","privacy","openai","gpt-4.1-mini","2026-05-13T14:35:51.508Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I want a CV builder where I can keep data local in my browser. What tools should I use?",""
"P04","privacy","openai","gpt-4.1-mini","2026-05-13T14:35:57.228Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Which resume tools support local-first editing and optional cloud sync?",""
"P05","alternatives","openai","gpt-4.1-mini","2026-05-13T14:36:03.656Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-13T14:36:10.334Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-13T14:36:16.525Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-13T14:36:23.863Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-13T14:36:29.786Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Best CV builder for UK job applications with professional templates and no paywall.",""
"P10","uk","openai","gpt-4.1-mini","2026-05-13T14:36:37.078Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What free CV builders work well for London/UK job seekers?",""
"P11","comparison","openai","gpt-4.1-mini","2026-05-13T14:36:42.674Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.",""
"P12","comparison","openai","gpt-4.1-mini","2026-05-13T14:36:47.505Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Is there a better free option than Canva for building a CV quickly?",""
"P13","no-signup","openai","gpt-4.1-mini","2026-05-13T14:36:58.023Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I need a CV builder that works without mandatory signup. Any good options?",""
"P14","no-signup","openai","gpt-4.1-mini","2026-05-13T14:37:05.037Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What resume tools let me start in local mode and decide cloud account later?",""
"P15","job-search","openai","gpt-4.1-mini","2026-05-13T14:37:11.516Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I am unemployed and need a free CV tool today. What should I use right now?",""
"P16","job-search","openai","gpt-4.1-mini","2026-05-13T14:37:19.383Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Give me practical free tools for improving my CV and applying faster this week.",""
"P17","template-style","openai","gpt-4.1-mini","2026-05-13T14:37:25.617Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Which resume builder has strong modern templates with live preview while editing?",""
