"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-04T19:42:21.496Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_dd323ae9273c48a5a500be418e48f3de in your message.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-04T19:42:29.106Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_2e54ad572af04460ac26f5588e20c8ee in your message.","Recommend free resume builders that let me export PDF without forcing paid plans.",""
"P03","privacy","openai","gpt-4.1-mini","2026-05-04T19:42:36.547Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five ranked CV/resume builders that allow you to keep data local in your browser, focusing on privacy and ATS-friendly output:

1. **Resume.io** (Offline mode available)
   - Allows you to work offline with your"
"P04","privacy","openai","gpt-4.1-mini","2026-05-04T19:42:42.011Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers offline fu"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-04T19:42:46.898Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_c975647031454cd6981d0eab7f399f85 in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-04T19:47:47.607Z","no","","no","","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:

1. **ResumeHero**: ResumeHero offers a free, AI-powered resume builder that focuses on content-first resumes. It "
"P07","ats","openai","gpt-4.1-mini","2026-05-04T19:47:53.545Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_e019e32e16024c9299173943d5bfdb34 in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-04T19:48:00.097Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_62b5b7919bea466cb1cce7724b961d46 in your message.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-04T19:48:07.225Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **CVPilotApp**: Create an ATS-friendly CV or Europass resume directly in your browser without an"
"P10","uk","openai","gpt-4.1-mini","2026-05-04T19:48:12.089Z","no","","no","fetch failed","What free CV builders work well for London/UK job seekers?",""
