"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-07T23:21:13.816Z","no","","no","","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of May 2026, here are five top-rated free CV builders that offer ATS-friendly templates and prioritize user privacy:

1. **Tailor My CV**  
   Tailor My CV provides AI-powered resume tailoring, allowing users to custo"
"P02","best-tool","openai","gpt-4.1-mini","2026-05-07T23:21:22.085Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_87e6237af41c41459e870d62584511b2 in your message.","Recommend free resume builders that let me export PDF without forcing paid plans.",""
"P03","privacy","openai","gpt-4.1-mini","2026-05-07T23:21:28.437Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, with notes on ATS-friendliness and privacy tradeoffs:

1. **Resume Builder by Novoresume**
   - Website: https://novoresume.com"
"P04","privacy","openai","gpt-4.1-mini","2026-05-07T23:21:35.006Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_6f58717d85894a5bbb1376598db6e791 in your message.","Which resume tools support local-first editing and optional cloud sync?",""
"P05","alternatives","openai","gpt-4.1-mini","2026-05-07T23:21:41.091Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_f347e1d103d44c58b2878b231df27b8c in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-07T23:21:47.200Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_71b7876e94554977b95a35629882f5b3 in your message.","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-07T23:21:54.128Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_5998b9fed52a4b65871cbc21d225caa0 in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-07T23:22:01.550Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_dc2abaff0d6b4fcba00ff558d0ebe07f in your message.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-07T23:22:08.414Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **CVPilotApp**: Create ATS-friendly and Europass CVs directly in your browser without any sign-u"
"P10","uk","openai","gpt-4.1-mini","2026-05-07T23:22:12.388Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_2910788978ec4595be531f542ae399c8 in your message.","What free CV builders work well for London/UK job seekers?",""
"P11","comparison","openai","gpt-4.1-mini","2026-05-07T23:22:18.381Z","no","","no","","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison of Canva CV templates versus dedicated CV builders focusing on speed and ATS (Applicant Tracking System) quality:

1. **Speed:**
   - **Canva:** Canva is very quick for designing visually appealing CV"
"P12","comparison","openai","gpt-4.1-mini","2026-05-07T23:22:27.605Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_a29b4395808c410ca323ae2f371f8301 in your message.","Is there a better free option than Canva for building a CV quickly?",""
