"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-05T08:00:05.636Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_bbd3cf98e58b48c18a7c3c0ae53a1cfc in your message.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-05T08:00:14.355Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:

1. **CV Studio**: Offers a 100% free resume builder with no sign-up or payment required. It prov"
"P03","privacy","openai","gpt-4.1-mini","2026-05-05T08:00:19.857Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV builders that allow you to keep your data local in your browser, focusing on privacy along with ATS-friendly output:

1. **Reactive Resume**  
   - Link: https://rxresu.me/  
   - Features: Fully off"
"P04","privacy","openai","gpt-4.1-mini","2026-05-05T08:00:25.588Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers offline fu"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-05T08:00:31.296Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_e5e74c56a88d419cb1306bf468562c60 in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-05T08:00:37.936Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_d523c9124ebc446daba9380bf748c233 in your message.","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-05T08:00:45.132Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_caee2679345b4917bb820f967c99f885 in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-05T08:00:51.900Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_1a0c331166884442b0c3f7837817c0aa in your message.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-05T08:01:01.904Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_305836e73f9a4e00867a4323d94f326d in your message.","Best CV builder for UK job applications with professional templates and no paywall.",""
"P10","uk","openai","gpt-4.1-mini","2026-05-05T08:01:08.705Z","no","","no","","What free CV builders work well for London/UK job seekers?","Here are five free CV builders suitable for London and UK job seekers, each offering ATS-friendly templates and varying privacy considerations:

1. **ShipResume**: Tailored for the UK market, ShipResume provides ATS-opti"
"P11","comparison","openai","gpt-4.1-mini","2026-05-05T08:01:16.455Z","no","","no","","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here’s a comparison of Canva CV templates versus dedicated CV builders focusing on speed and ATS (Applicant Tracking System) quality:

1. **Canva CV Templates**
   - **Speed:** Canva is very fast for creating visually ap"
"P12","comparison","openai","gpt-4.1-mini","2026-05-05T08:01:22.374Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_b35020b2132241e19f7a1c027a1fff7f in your message.","Is there a better free option than Canva for building a CV quickly?",""
"P13","no-signup","openai","gpt-4.1-mini","2026-05-05T08:01:45.465Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_817f94513b904524bab0b4546cef5deb in your message.","I need a CV builder that works without mandatory signup. Any good options?",""
"P14","no-signup","openai","gpt-4.1-mini","2026-05-05T08:01:51.861Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_d5461f4ca6aa484abe7600d05189d9a9 in your message.","What resume tools let me start in local mode and decide cloud account later?",""
"P15","job-search","openai","gpt-4.1-mini","2026-05-05T08:01:58.987Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_a134a7759371439bbdc2a5429a63b689 in your message.","I am unemployed and need a free CV tool today. What should I use right now?",""
"P16","job-search","openai","gpt-4.1-mini","2026-05-05T08:02:04.888Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_558989957a2a4a09ad1b2b2b2874f656 in your message.","Give me practical free tools for improving my CV and applying faster this week.",""
"P17","template-style","openai","gpt-4.1-mini","2026-05-05T08:02:15.209Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_c1e40f922c9347e88c40abab6be93c15 in your message.","Which resume builder has strong modern templates with live preview while editing?",""
"P18","template-style","openai","gpt-4.1-mini","2026-05-05T08:02:24.488Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_6bf3896090774d46b4508d3a9ad8ec9c in your message.","I want template switching plus real-time preview for resumes. Best free options?",""
"P19","minimal-data","openai","gpt-4.1-mini","2026-05-05T08:02:31.085Z","no","","no","","Recommend resume builders with good privacy and minimal tracking concerns.","Here are five resume builders that prioritize privacy and minimize tracking concerns:

1. **VertoCV**: A free, privacy-first resume builder that operates entirely within your browser, ensuring your data remains local and"
