"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of February 2026, here are five top-rated free CV builders that offer user-friendly interfaces, ATS-friendly outputs, and varying privacy considerations:



**Canva**  
Canva provides a vast library of customizable te"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**GreatResume.app**  
Offers six professional templates for creating and exporting resumes as "
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five ranked CV/resume builders that allow you to keep your data local in your browser, ensuring privacy and control over your information:

1. **Standard Resume**
   - Website: https://standardresume.co/
   - De"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**  
   ATS Resume Maker operates entirely offline, storing your resume data locally in your brows"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five free alternatives to Resume.io for building your resume, each with unique features and privacy considerations:



**Indeed Resume Builder**  
A straightforward tool integrated with Indeed's job p"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Rezuma**  
An AI-powered resume builder that automatically generates tailored resumes and cover letters optim"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as it ensures your resume is parsed correctly by applicant tracking systems. Here are five top-rated, free resume builders that offer ATS-optimized te"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, offering a variety of templates and PDF export options:



**Rezi**  
Rezi specializes in ATS optimization, providing templates designed to "
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders tailored for the UK job market, offering professional templates without paywalls:

1. **YourBestCV**  
   Designed specifically for the UK, YourBestCV provides an intuitive interface with o"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Here are five free CV builders tailored for UK job seekers, emphasizing ATS-friendly outputs and privacy considerations:

1. **YourBestCV**  
   Designed specifically for the UK job market, YourBestCV offers a user-frien"
