"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-10T14:37:12.784Z","no","","no","","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of May 2026, here are five top-rated free CV builders for job seekers, each offering unique features to assist in crafting an effective resume:


[ResiBuilt Wins IMN SFR Award for Third Time in Four Years, Cementing I"
"P02","best-tool","openai","gpt-4.1-mini","2026-05-10T14:37:19.121Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**ResBuilder**  
Offers unlimited PDF and Word downloads with no watermarks or ads. Provides 1"
"P03","privacy","openai","gpt-4.1-mini","2026-05-10T14:37:28.971Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, focusing on privacy, ATS-friendly output, and usability:

1. **Resume.io**
   - Link: https://resume.io/
   - Notes: Resume.io "
"P04","privacy","openai","gpt-4.1-mini","2026-05-10T14:37:35.647Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:


[rinaさんのレジュメ | RESUME](https://www.resume.id/583?utm_source=openai)
**ResumeMD**  
ResumeMD allows users to create res"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-10T14:37:45.083Z","no","","no","","What are the best Resume.io alternatives for someone who needs a free option?","If you're seeking free alternatives to Resume.io for building an ATS-friendly resume, here are five top recommendations:


[Resume Builder: AI Resume writer + ATS friendly Resume builder  | Product Hunt](https://www.prod"
"P06","alternatives","openai","gpt-4.1-mini","2026-05-10T14:37:54.426Z","no","","no","","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:


[Clean modern design template of  resume or CV,vector illustration](https://media.gettyimages.com/id/901401464/v"
"P07","ats","openai","gpt-4.1-mini","2026-05-10T14:38:01.670Z","no","","no","","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as many companies use Applicant Tracking Systems to screen candidates. Here are five top-rated, free resume builders that offer ATS-optimized template"
"P08","ats","openai","gpt-4.1-mini","2026-05-10T14:38:08.493Z","no","","no","","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, offering a variety of templates and PDF export capabilities:

1. **StackInterview Resume Builder**
   - **Features**: Offers 15 professional"
"P09","uk","openai","gpt-4.1-mini","2026-05-10T14:38:14.076Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:


[NEXT Recruitment & Consulting » Transform Your Recruiting Experience](https://nextrcinc.com/?utm_"
"P10","uk","openai","gpt-4.1-mini","2026-05-10T14:38:22.142Z","no","","no","","What free CV builders work well for London/UK job seekers?","Here are five free CV builders suitable for London and UK job seekers, focusing on ATS-friendly outputs and privacy considerations:

1. **CVPilotApp**  
   An entirely free, browser-based tool that allows you to create A"
