"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-08T08:00:07.824Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_6cfed258cd394775bb7af7cdaf97b450 in your message.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-08T08:00:15.714Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_a7999f6f3ae44dc68222f69427a33c15 in your message.","Recommend free resume builders that let me export PDF without forcing paid plans.",""
"P03","privacy","openai","gpt-4.1-mini","2026-05-08T08:00:22.416Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, ensuring your privacy without needing to upload your information to the cloud:

1. **Novoresume** (Local mode option)  
   - UR"
"P04","privacy","openai","gpt-4.1-mini","2026-05-08T08:00:29.543Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers optional c"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-08T08:00:39.406Z","no","","no","","What are the best Resume.io alternatives for someone who needs a free option?","If you're seeking free alternatives to Resume.io that offer ATS-friendly templates and prioritize privacy, here are five top recommendations:

1. **VitaeKit**: VitaeKit provides a 100% free resume builder with 12 ATS-fri"
"P06","alternatives","openai","gpt-4.1-mini","2026-05-08T08:00:46.379Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_9541892f6dc447459b41cb984b59b5b5 in your message.","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-08T08:00:54.614Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_34d5bdbd1b874335ba12ad97ba436edc in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-08T08:01:00.524Z","no","","no","","Top ATS resume builders for software engineers, with template variety and PDF export.","Based on your requirements for an ATS-friendly resume builder suitable for software engineers, offering a variety of templates and PDF export capabilities, here are five top recommendations:


[Download Resumee – Create "
"P09","uk","openai","gpt-4.1-mini","2026-05-08T08:01:09.748Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, offering professional templates and ATS-friendly outputs:

1. **CVPilotApp**: An entirely free, browser-based CV builder that doesn't require sign-up or cr"
"P10","uk","openai","gpt-4.1-mini","2026-05-08T08:01:25.322Z","no","","no","","What free CV builders work well for London/UK job seekers?","Here are five free CV builders tailored for UK job seekers, focusing on ATS-friendly outputs and privacy considerations:

1. **ApplyArc CV Builder**  
   Designed specifically for the UK market, ApplyArc offers a free ti"
