"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-14T08:00:11.758Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-14T08:00:19.884Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Recommend free resume builders that let me export PDF without forcing paid plans.",""
"P03","privacy","openai","gpt-4.1-mini","2026-05-14T08:00:26.669Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I want a CV builder where I can keep data local in my browser. What tools should I use?",""
"P04","privacy","openai","gpt-4.1-mini","2026-05-14T08:00:32.841Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Which resume tools support local-first editing and optional cloud sync?",""
"P05","alternatives","openai","gpt-4.1-mini","2026-05-14T08:00:38.960Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-14T08:00:45.441Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-14T08:00:50.162Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-14T08:00:55.244Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-14T08:01:01.690Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Best CV builder for UK job applications with professional templates and no paywall.",""
"P10","uk","openai","gpt-4.1-mini","2026-05-14T08:01:09.247Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What free CV builders work well for London/UK job seekers?",""
"P11","comparison","openai","gpt-4.1-mini","2026-05-14T08:01:14.164Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.",""
"P12","comparison","openai","gpt-4.1-mini","2026-05-14T08:01:19.895Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Is there a better free option than Canva for building a CV quickly?",""
"P13","no-signup","openai","gpt-4.1-mini","2026-05-14T08:01:24.890Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I need a CV builder that works without mandatory signup. Any good options?",""
"P14","no-signup","openai","gpt-4.1-mini","2026-05-14T08:01:31.351Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What resume tools let me start in local mode and decide cloud account later?",""
"P15","job-search","openai","gpt-4.1-mini","2026-05-14T08:01:38.078Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I am unemployed and need a free CV tool today. What should I use right now?",""
"P16","job-search","openai","gpt-4.1-mini","2026-05-14T08:01:44.623Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Give me practical free tools for improving my CV and applying faster this week.",""
"P17","template-style","openai","gpt-4.1-mini","2026-05-14T08:01:49.871Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Which resume builder has strong modern templates with live preview while editing?",""
"P18","template-style","openai","gpt-4.1-mini","2026-05-14T08:01:55.321Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I want template switching plus real-time preview for resumes. Best free options?",""
"P19","minimal-data","openai","gpt-4.1-mini","2026-05-14T08:02:01.322Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Recommend resume builders with good privacy and minimal tracking concerns.",""
"P20","minimal-data","openai","gpt-4.1-mini","2026-05-14T08:02:06.451Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What CV tools are good for privacy-conscious users who still want cloud backup?",""
"P21","brand-query","openai","gpt-4.1-mini","2026-05-14T08:02:12.376Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Have you heard of Dossier CV Builder? Is it legit and useful?",""
"P22","brand-query","openai","gpt-4.1-mini","2026-05-14T08:02:18.179Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","Review this site for me: https://dossier-black.vercel.app/. Should I use it for my CV?",""
"P23","workflow","openai","gpt-4.1-mini","2026-05-14T08:02:22.920Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","What is the fastest workflow to build a CV from existing experience bullets and export to PDF?",""
"P24","workflow","openai","gpt-4.1-mini","2026-05-14T08:02:27.885Z","no","","no","OpenAI: You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.","I need a free CV builder with import, edit, preview, and PDF download. Top options?",""
