"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-09T08:00:08.987Z","no","","no","","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of May 2026, here are five top-rated free CV builders that offer user-friendly interfaces, ATS-friendly templates, and no hidden fees:

1. **FreeCV**  
   FreeCV provides a genuinely free resume builder with no credit"
"P02","best-tool","openai","gpt-4.1-mini","2026-05-09T08:00:15.953Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:

1. **MeVirtually**: An entirely free resume builder that doesn't require sign-up. It offers AI-p"
"P03","privacy","openai","gpt-4.1-mini","2026-05-09T08:00:23.021Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five CV builders that allow you to keep your data local in your browser, ranked by ease of use, features, and privacy:

1. **Reactive Resume**  
   - Description: An open-source resume builder that works entirel"
"P04","privacy","openai","gpt-4.1-mini","2026-05-09T08:00:29.552Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser, ensuring no data is "
"P05","alternatives","openai","gpt-4.1-mini","2026-05-09T08:00:34.068Z","no","","no","","What are the best Resume.io alternatives for someone who needs a free option?","If you're seeking free alternatives to Resume.io for building an ATS-friendly resume, here are five top recommendations:


[Indeed Resume Builder and Resume Review: Is It Worth It?](https://www.tealhq.com/post/indeed-res"
"P06","alternatives","openai","gpt-4.1-mini","2026-05-09T08:00:43.081Z","no","","no","","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Teal Resume Builder**  
Teal offers a free resume builder with unlimited resumes and a job tracker. Its Chrom"
"P07","ats","openai","gpt-4.1-mini","2026-05-09T08:00:50.075Z","no","","no","","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as many companies use Applicant Tracking Systems to screen candidates. Here are five free resume builders that offer ATS-compatible templates and are "
"P08","ats","openai","gpt-4.1-mini","2026-05-09T08:00:58.884Z","no","","no","","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders tailored for software engineers, each offering a variety of templates and PDF export capabilities:


[Download Resumee – Create Instant Digital Resumes, Anytime](https://www"
"P09","uk","openai","gpt-4.1-mini","2026-05-09T08:01:05.539Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, offering professional templates without paywalls:

1. **CVPilotApp**: Create ATS-friendly and Europass CVs directly in your browser without any sign-up or "
"P10","uk","openai","gpt-4.1-mini","2026-05-09T08:01:10.735Z","no","","no","","What free CV builders work well for London/UK job seekers?","For job seekers in London and across the UK, creating an effective CV is crucial. Here are five free CV builders that cater to UK standards, ensuring ATS-friendly formats and privacy considerations:


[ApplyArc — AI Job "
