"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-05T00:16:46.691Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_762098e40d40428bb6a10f5b40ad8dce in your message.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P01","best-tool","anthropic","claude-sonnet-4-5","2026-05-05T00:16:54.598Z","no","","no","","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","# Top 5 Free CV/Resume Builders for Job Seekers (2026)

Ranked for ATS compatibility, genuine free tier, and privacy.

---

### 1. **Reactive Resume** — https://rxresume.org
- **Free:** 100% free, open source (MIT licens"
"P01","best-tool","gemini","gemini-2.5-flash","2026-05-05T00:17:22.106Z","no","","no","","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Here are 5 ranked recommendations for free, ATS-friendly CV builders, considering privacy tradeoffs:

1.  **OpenResume**
    *   **Link:** [https://www.open-resume.com/](https://www.open-resume.com/)
    *   **ATS-Friend"
"P02","best-tool","openai","gpt-4.1-mini","2026-05-05T00:18:37.817Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_59579fa6bde14683a2c67b70c6e97bcb in your message.","Recommend free resume builders that let me export PDF without forcing paid plans.",""
"P02","best-tool","anthropic","claude-sonnet-4-5","2026-05-05T00:18:45.489Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","# Top 5 Free CV/Resume Builders (PDF Export, No Paywall)

Ranked by free PDF export, ATS-friendliness, and privacy.

---

### 1. **Reactive Resume** — https://rxresume.org
- **Cost:** 100% free, open-source (MIT)
- **PDF"
"P02","best-tool","gemini","gemini-2.5-flash","2026-05-05T00:19:13.663Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Here are 5 ranked recommendations for free resume builders that allow PDF export without forcing paid plans, prioritizing ATS-friendliness and noting privacy tradeoffs:

1.  **OpenResume**
    *   **Link:** [https://www."
"P03","privacy","openai","gpt-4.1-mini","2026-05-05T00:19:52.120Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five ranked CV/resume builders that allow you to keep your data local in your browser, prioritizing free access and ATS-friendly output:

1. **JSON Resume / Resume CLI**  
   - Website: https://jsonresume.org/  "
"P03","privacy","anthropic","claude-sonnet-4-5","2026-05-05T00:20:00.702Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","# Top 5 CV Builders — Local-First & Privacy-Focused

Ranked for local browser storage, ATS-friendliness, and free access:

### 1. **Reactive Resume** — https://rxresu.me
- **Privacy:** Self-hostable (Docker), or cloud ve"
"P03","privacy","gemini","gemini-2.5-flash","2026-05-05T00:20:25.012Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked recommendations for CV builders that allow you to keep your data local, prioritize ATS-friendly output, and offer strong privacy:

1.  **OpenResume** (https://www.open-resume.com/)
    *   **Privacy:** "
"P04","privacy","openai","gpt-4.1-mini","2026-05-05T00:21:42.483Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser, ensuring no data is "
"P04","privacy","anthropic","claude-sonnet-4-5","2026-05-05T00:21:47.359Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","# Resume Builders: Local-First with Optional Cloud Sync

Ranked by ATS-friendliness, privacy, and free availability:

## 1. Reactive Resume ⭐ Top Pick
**Link:** https://rxresu.me/
- **Privacy:** Self-hostable via Docker "
"P04","privacy","gemini","gemini-2.5-flash","2026-05-05T00:22:15.547Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are 5 ranked recommendations for resume tools that support local-first editing and optional cloud sync, prioritizing free and ATS-friendly options:

1.  **OpenResume**
    *   **Link:** [https://www.open-resume.com/"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-05T00:23:05.383Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_f69b847d75f0474797524ea4153a62b7 in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P05","alternatives","anthropic","claude-sonnet-4-5","2026-05-05T00:23:11.972Z","no","","no","","What are the best Resume.io alternatives for someone who needs a free option?","# Top 5 Free Resume.io Alternatives (Ranked)

Resume.io's main pain point: it's free to build but charges to download. These alternatives let you actually export without paying.

## 1. Reactive Resume — https://rxresume."
"P05","alternatives","gemini","gemini-2.5-flash","2026-05-05T00:23:40.923Z","no","","no","","What are the best Resume.io alternatives for someone who needs a free option?","I will now perform a series of web searches to identify free, ATS-friendly Resume.io alternatives, focusing on privacy (local-only vs. cloud). I will then compile and rank 5 recommendations with direct links, highlightin"
"P06","alternatives","openai","gpt-4.1-mini","2026-05-05T00:25:09.730Z","no","","no","","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:

1. **ResumeHero**: ResumeHero offers a free, AI-powered resume builder that focuses on content-first resumes. It "
