"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers, and several free CV builders offer user-friendly interfaces, ATS-friendly templates, and varying levels of privacy. Here are five top recommendations:



**Teal**  
Te"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**ResBuilder**  
Offers unlimited PDF and Word downloads with no watermarks or ads. Your data "
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 CV builders that allow you to keep your data local in your browser, ensuring privacy and security by avoiding cloud storage. These tools generally export ATS-friendly formats like PDF and Word:

1. **Resume Bu"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**  
   ATS Resume Maker operates entirely offline, storing your resume data locally in your brows"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","If you're seeking free alternatives to Resume.io for building an ATS-friendly resume, here are five top recommendations:



**Indeed Resume Builder**  
A completely free tool that integrates seamlessly with Indeed's job "
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Rezuma**  
An AI-powered resume builder that automatically generates tailored resumes and cover letters optim"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","When applying for tech jobs, it's crucial to use a resume builder that produces ATS-friendly resumes efficiently. Here are five top recommendations:



**Teal AI Resume Builder**  
Teal offers a free AI-powered resume bu"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, each offering a variety of templates and PDF export options:



**Novorésumé**  
Offers a range of ATS-optimized templates with clean, singl"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **YourBestCV**: Tailored for the UK job market, YourBestCV provides an intuitive interface with "
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Here are five free CV builders suitable for London and UK job seekers, each offering ATS-friendly outputs and varying privacy considerations:



**YourBestCV**  
Tailored for the UK job market, YourBestCV provides profes"
