"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers in 2026. Here are five top-rated free CV builders that offer ATS-friendly templates and prioritize user privacy:



**Indeed Resume Builder**  
A completely free tool o"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:

1. **GreatResume.app**: Offers six professional templates for creating and exporting resumes to "
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked recommendations for CV builders that allow you to keep your data local in your browser:

1. **Resumake**  
   - Link: https://resumake.io/  
   - Description: Open-source CV builder that runs entirely i"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **Resumori**: Resumori offers a clean editor with instant preview and professional templates. It allows users to dow"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five top-rated free alternatives to Resume.io for building your resume:



**Indeed Resume Builder**  
A completely free tool that integrates seamlessly with Indeed's job platform, allowing for easy a"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that can help you create professional resumes:



**Rezuma**  
An AI-powered resume builder that automatically generates tailored resumes and cover letters opti"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as many companies use Applicant Tracking Systems to screen candidates. Here are five top-rated, free resume builders that offer ATS-compatible templat"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, each offering a variety of templates and PDF export capabilities:



**Rezi**  
Rezi provides a collection of ATS-compliant resume templates"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five top-rated CV builders suitable for UK job applications, offering professional templates and free access without paywalls:

1. **VisualCV**: Provides over 20 recruiter-approved, ATS-friendly CV templates. Of"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Creating a professional CV is crucial for job seekers in the UK. Here are five free CV builders that cater well to the UK job market:



**YourBestCV**  
Offers a user-friendly interface with professional templates tailo"
"P11","comparison","gpt-4.1-mini","no","","no","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison of Canva CV templates versus dedicated CV builders focusing on speed and ATS (Applicant Tracking System) quality:

1. **Speed:**
   - **Canva CV Templates:** Canva is very fast and intuitive for desig"
"P12","comparison","gpt-4.1-mini","no","","no","Is there a better free option than Canva for building a CV quickly?","Certainly! Here are five free CV/resume builders that offer quick and efficient ways to create professional resumes:



**Indeed Resume Builder**  
A straightforward tool that allows you to create a resume quickly using "
"P13","no-signup","gpt-4.1-mini","no","","no","I need a CV builder that works without mandatory signup. Any good options?","Certainly! Here are five CV builders that allow you to create professional resumes without mandatory sign-ups:

1. **CV Studio**  
   A completely free resume builder that requires no sign-up. It offers ATS-optimized tem"
"P14","no-signup","gpt-4.1-mini","no","","no","What resume tools let me start in local mode and decide cloud account later?","Here are five resume builders that allow you to start in local mode and decide on cloud synchronization later:



**DuckResume**  
A free CV maker app available on Android and iOS, DuckResume lets you create, edit, and e"
"P15","job-search","gpt-4.1-mini","no","","no","I am unemployed and need a free CV tool today. What should I use right now?","Creating a professional CV is crucial in your job search. Here are five free, user-friendly CV builders that offer ATS-friendly outputs and varying privacy considerations:



**FlowCV**  
FlowCV provides a clean, modern,"
"P16","job-search","gpt-4.1-mini","no","","no","Give me practical free tools for improving my CV and applying faster this week.","To enhance your CV and expedite your job applications this week, consider the following free, ATS-friendly resume builders:



**Rezi**  
An AI-powered resume builder that offers ATS-optimized templates and AI content su"
"P17","template-style","gpt-4.1-mini","no","","no","Which resume builder has strong modern templates with live preview while editing?","Here are five resume builders that offer strong modern templates with live preview functionality:

1. **Resumeora**: An online resume builder providing ATS-friendly templates with live preview and PDF export. ([resumeora"
"P18","template-style","gpt-4.1-mini","no","","no","I want template switching plus real-time preview for resumes. Best free options?","Based on your requirements for a free resume builder that offers template switching and real-time preview, here are five top recommendations:



**UPCV**  
An AI-powered resume builder that provides real-time previews an"
"P19","minimal-data","gpt-4.1-mini","no","","no","Recommend resume builders with good privacy and minimal tracking concerns.","When prioritizing privacy and minimal tracking in your resume-building process, consider the following tools:

1. **OpenResume**: An open-source, browser-based resume builder that operates entirely offline, ensuring your"
"P20","minimal-data","gpt-4.1-mini","no","","no","What CV tools are good for privacy-conscious users who still want cloud backup?","For privacy-conscious users seeking cloud backup options for their CVs, here are five recommended tools:



**PrivateCV**  
An open-source resume builder that operates entirely in your browser, ensuring your data remains"
"P21","brand-query","gpt-4.1-mini","yes","","no","Have you heard of Dossier CV Builder? Is it legit and useful?","I couldn't find specific information about a ""Dossier CV Builder."" It's possible that the name is either uncommon, misspelled, or the service is relatively new and hasn't garnered significant online presence yet.

Howeve"
"P22","brand-query","gpt-4.1-mini","yes","","no","Review this site for me: https://dossier-black.vercel.app/. Should I use it for my CV?","The website [dossier-black.vercel.app](https://dossier-black.vercel.app/) appears to be a CV builder platform. However, there is limited information available regarding its features, user reviews, and privacy policies. T"
"P23","workflow","gpt-4.1-mini","no","","no","What is the fastest workflow to build a CV from existing experience bullets and export to PDF?","The fastest workflow to build a CV from existing experience bullets and export to PDF typically involves using an online or offline CV/resume builder that supports easy input, quick formatting, and direct PDF export. Her"
"P24","workflow","gpt-4.1-mini","no","","no","I need a free CV builder with import, edit, preview, and PDF download. Top options?","Here are five free CV builders that offer import, editing, preview, and PDF download features:

1. **CVEngine**: A free, no-signup-required tool that allows you to write your CV in Markdown, see a live preview, and downl"
