"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-11T14:15:18.351Z","no","","no","","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","As of May 2026, here are five top-rated free CV builders for job seekers, each offering unique features and privacy considerations:


[Resume builder software interface showing career development data with artificial int"
"P02","best-tool","openai","gpt-4.1-mini","2026-05-11T14:15:30.042Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:


[Free CV Builder | Create Professional Resume in Minutes](https://freecv.org/?utm_source=openai"
"P03","privacy","openai","gpt-4.1-mini","2026-05-11T14:15:38.556Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 ranked CV/resume builders that allow you to keep your data local in your browser, ensuring privacy and control over your information:

1. **Resumake.io**
   - Direct link: https://www.resumake.io/
   - Feature"
"P04","privacy","openai","gpt-4.1-mini","2026-05-11T14:15:47.423Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers offline fu"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-11T14:15:51.979Z","no","","no","","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five free Resume.io alternatives that offer ATS-friendly outputs and varying privacy considerations:


[ResiBuilt Wins IMN SFR Award for Third Time in Four Years, Cementing Industry Leadership](https:"
"P06","alternatives","openai","gpt-4.1-mini","2026-05-11T14:15:58.362Z","no","","no","","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free resume builders that are ATS-friendly and serve as excellent alternatives to Zety:



**FlowCV**  
FlowCV offers a user-friendly interface with customizable templates designed to pass ATS sc"
"P07","ats","openai","gpt-4.1-mini","2026-05-11T14:16:06.623Z","no","","no","","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as many companies use Applicant Tracking Systems to screen candidates. Here are five free resume builders that offer ATS-optimized templates and fast,"
"P08","ats","openai","gpt-4.1-mini","2026-05-11T14:16:12.475Z","no","","no","","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders suitable for software engineers, offering a variety of templates and PDF export capabilities:


[Download Resumee – Create Instant Digital Resumes, Anytime](https://www.myre"
"P09","uk","openai","gpt-4.1-mini","2026-05-11T14:16:18.660Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, offering professional templates and no paywalls:

1. **CVPilotApp**: Create ATS-friendly CVs and Europass resumes directly in your browser without any sign"
"P10","uk","openai","gpt-4.1-mini","2026-05-11T14:16:23.910Z","no","","no","","What free CV builders work well for London/UK job seekers?","Creating an effective CV is crucial for job seekers in London and the UK. Here are five free CV builders that offer ATS-friendly templates and cater to UK job market standards:


[CV Pro Professional Writers & HR Recruit"
