"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers, and several free CV builders in 2026 offer user-friendly interfaces, customizable templates, and ATS-friendly outputs. Here are the top five recommendations:



**Canv"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**CVCompose**  
Offers a variety of professional, ATS-friendly templates with free PDF export."
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five ranked CV builders that allow you to keep your data local in your browser, focusing on privacy and offline use:

1. **JSON Resume**  
   - Link: https://jsonresume.org  
   - Description: An open-source res"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**: This tool operates entirely offline, storing your resume data locally in your browser's storag"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","If you're seeking free alternatives to Resume.io for building an ATS-friendly resume, here are five top recommendations:



**Indeed Resume Builder**  
A completely free tool that integrates seamlessly with Indeed's job "
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:

1. **Rezuma**: An AI-powered resume builder that automatically generates tailored resumes and cover letters optim"
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","When applying for tech jobs, it's crucial to use a resume builder that produces ATS-friendly resumes and allows for quick application submissions. Here are five top recommendations:



**Jobscan Resume Builder**  
Jobsca"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","When crafting an ATS-friendly resume as a software engineer, it's essential to choose a builder that offers a variety of templates, supports PDF export, and ensures compatibility with Applicant Tracking Systems. Here are"
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders tailored for the UK job market, offering professional templates without paywalls:

1. **YourBestCV**  
   Designed specifically for the UK job market, YourBestCV provides an intuitive inter"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","Here are five free CV builders suitable for UK job seekers, each offering unique features to help you create an effective and ATS-friendly CV:



**AdaptIt.pro**  
Tailored specifically for the UK job market, AdaptIt.pro"
