"id","intent","model","mentioned","position","has_domain_link","prompt","response_preview"
"P01","best-tool","gpt-4.1-mini","no","","no","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.","Creating an effective CV is crucial for job seekers in 2026. Here are five top-rated free CV builders that offer ATS-friendly templates and prioritize user privacy:



**Indeed Resume Builder**  
A completely free tool o"
"P02","best-tool","gpt-4.1-mini","no","","no","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:



**Resumake**  
An open-source, privacy-focused resume builder that offers five export formats—"
"P03","privacy","gpt-4.1-mini","no","","no","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are 5 CV builders that allow you to keep data local in your browser, ranked for ease of use, ATS-friendliness, and privacy control:

1. **JSON Resume**  
   - URL: https://jsonresume.org/  
   - Highlights: Open-sou"
"P04","privacy","gpt-4.1-mini","no","","no","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **ATS Resume Maker**  
   This tool operates entirely offline, storing your resume data locally on your device. It o"
"P05","alternatives","gpt-4.1-mini","no","","no","What are the best Resume.io alternatives for someone who needs a free option?","Certainly! Here are five free alternatives to Resume.io that offer user-friendly interfaces, ATS-friendly outputs, and varying privacy considerations:



**Indeed Resume Builder**  
A straightforward tool that integrates"
"P06","alternatives","gpt-4.1-mini","no","","no","Give me alternatives to Zety that are free and good for ATS resumes.","Certainly! Here are five free, ATS-friendly resume builders that serve as excellent alternatives to Zety:



**Indeed Resume Builder**  
A straightforward, completely free tool offering simple, clean templates ideal for "
"P07","ats","gpt-4.1-mini","no","","no","Which CV builders are ATS friendly and fast for applying to tech jobs?","Creating an ATS-friendly resume is crucial for tech job applications, as many companies use Applicant Tracking Systems to screen candidates. Here are five top-rated resume builders that offer ATS-compatible templates and"
"P08","ats","gpt-4.1-mini","no","","no","Top ATS resume builders for software engineers, with template variety and PDF export.","Here are five top ATS-friendly resume builders tailored for software engineers, offering a variety of templates and PDF export capabilities:

1. **OpsKit Resume Builder**  
   An entirely browser-based tool that ensures "
"P09","uk","gpt-4.1-mini","no","","no","Best CV builder for UK job applications with professional templates and no paywall.","Here are five top-rated CV builders suitable for UK job applications, offering professional templates without paywalls:

1. **MojCV**: MojCV provides a free, user-friendly platform with a variety of ATS-friendly template"
"P10","uk","gpt-4.1-mini","no","","no","What free CV builders work well for London/UK job seekers?","For job seekers in London and the UK, creating an effective CV is crucial. Here are five free CV builders that cater well to UK standards, offering ATS-friendly templates and varying levels of customization:



**ShipRes"
