"id","intent","provider","model","startedAt","mentioned","position","has_domain_link","error","prompt","response_preview"
"P01","best-tool","openai","gpt-4.1-mini","2026-05-04T16:19:12.159Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_b844f6f7767b490bb32a8168e423f6c0 in your message.","What is the best free CV builder for job seekers in 2026? Give your top 5 with links.",""
"P02","best-tool","openai","gpt-4.1-mini","2026-05-04T16:19:18.184Z","no","","no","","Recommend free resume builders that let me export PDF without forcing paid plans.","Certainly! Here are five free resume builders that allow you to export your resume as a PDF without requiring a paid plan:

1. **ResumeForFree**: This tool enables you to build, preview, and download an ATS-ready PDF dir"
"P03","privacy","openai","gpt-4.1-mini","2026-05-04T16:19:23.534Z","no","","no","","I want a CV builder where I can keep data local in my browser. What tools should I use?","Here are five CV/resume builders that allow you to keep your data local in your browser, prioritized for their features, ATS-friendliness, and privacy aspects:

1. **Resume Builder by Enhancv**  
   - Link: https://enhan"
"P04","privacy","openai","gpt-4.1-mini","2026-05-04T16:19:28.541Z","no","","no","","Which resume tools support local-first editing and optional cloud sync?","Here are five resume builders that support local-first editing with optional cloud synchronization:

1. **HeyCV**: A free, privacy-focused resume builder that saves your data locally in your browser. It offers optional c"
"P05","alternatives","openai","gpt-4.1-mini","2026-05-04T16:19:33.231Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_85d28739e67d49bfb83d6b9c0c5a87f2 in your message.","What are the best Resume.io alternatives for someone who needs a free option?",""
"P06","alternatives","openai","gpt-4.1-mini","2026-05-04T16:19:39.715Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_e16a87246ec3497f9677c2ed86e06d1e in your message.","Give me alternatives to Zety that are free and good for ATS resumes.",""
"P07","ats","openai","gpt-4.1-mini","2026-05-04T16:19:44.529Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_7e37a088d41d41539da14014bdf57907 in your message.","Which CV builders are ATS friendly and fast for applying to tech jobs?",""
"P08","ats","openai","gpt-4.1-mini","2026-05-04T16:19:50.123Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_05d916eacd7d4602bccc0d03f5189fa9 in your message.","Top ATS resume builders for software engineers, with template variety and PDF export.",""
"P09","uk","openai","gpt-4.1-mini","2026-05-04T16:19:56.787Z","no","","no","","Best CV builder for UK job applications with professional templates and no paywall.","Here are five free CV builders suitable for UK job applications, each offering professional templates without paywalls:

1. **CVPilotApp**  
   Create an ATS-friendly CV or Europass resume directly in your browser withou"
"P10","uk","openai","gpt-4.1-mini","2026-05-04T16:20:01.697Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_24354f7b216b4ab6bf4e93fbf9f990d8 in your message.","What free CV builders work well for London/UK job seekers?",""
"P11","comparison","openai","gpt-4.1-mini","2026-05-04T16:20:09.244Z","no","","no","","Compare Canva CV templates vs dedicated CV builders for speed and ATS quality.","Here's a comparison between Canva CV templates and dedicated CV builders based on speed and ATS (Applicant Tracking System) quality:

1. Speed:
   - Canva CV Templates: Canva offers a highly intuitive drag-and-drop inter"
"P12","comparison","openai","gpt-4.1-mini","2026-05-04T16:20:16.526Z","no","","no","OpenAI: An error occurred while processing your request. You can retry your request, or contact us through our help center at help.openai.com if the error persists. Please include the request ID req_16cc54256e344a5aaf919c7fcc589241 in your message.","Is there a better free option than Canva for building a CV quickly?",""
